tag	genotype	date_start	date_litter	days	Weeks	litter_M	litter_F	litter_NA	litter_pups
#N/A	HZ	2020-05-26	2020-05-26	0	0.00	0	0	0	0
9515	HZ	2020-05-26	2020-06-18	23	3.29	3	2	#N/A	5
9526	HZ	2020-05-26	2020-06-21	26	3.71	#N/A	#N/A	#N/A	#N/A
9523	HZ	2020-05-26	2020-06-25	30	4.29	4	2	#N/A	6
9523	HZ	2020-05-26	2020-06-29	34	4.86	#N/A	#N/A	#N/A	#N/A
9526	HZ	2020-05-26	2020-06-29	34	4.86	5	4	#N/A	9
9520	HZ	2020-05-26	2020-07-05	40	5.71	3	2	2	7
9520	HZ	2020-05-26	2020-07-08	43	6.14	#N/A	#N/A	#N/A	#N/A
#N/A	KO	2020-05-26	2020-05-26	0	0.00	0	0	0	0
9518	KO	2020-05-26	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
9519	KO	2020-05-26	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
9525	KO	2020-05-26	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
9525	KO	2020-05-26	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A