tag	genotype	date_start	date_litter	days	Weeks	litter_M	litter_F	litter_pups	date_lost
#N/A	HZ	2019-07-29	2019-07-29	0	0.00	0	0	0	#N/A
5661	HZ	2019-07-29	2019-08-15	17	2.43	3	2	5	#N/A
5677	HZ	2019-07-29	2019-08-17	19	2.71	7	3	10	#N/A
5655	HZ	2019-07-29	2019-08-20	22	3.14	2	2	4	#N/A
5664	HZ	2019-07-29	2019-08-21	23	3.29	5	6	11	#N/A
5661	HZ	2019-07-29	2019-09-05	38	5.43	1	4	5	#N/A
5655	HZ	2019-07-29	2019-09-15	48	6.86	#N/A	#N/A	#N/A	#N/A
5677	HZ	2019-07-29	2019-10-01	64	9.14	2	3	5	#N/A
5661	HZ	2019-07-29	2019-10-01	64	9.14	4	2	6	#N/A
5655	HZ	2019-07-29	2019-10-12	75	10.71	3	7	10	#N/A
5664	HZ	2019-07-29	2019-10-24	87	12.43	4	5	9	#N/A
5677	HZ	2019-07-29	2019-11-15	109	15.57	6	0	6	#N/A
5655	HZ	2019-07-29	2019-11-23	117	16.71	2	6	8	#N/A
5664	HZ	2019-07-29	2019-12-10	134	19.14	5	3	8	#N/A
5661	HZ	2019-07-29	2019-12-21	145	20.71	1	2	3	#N/A
5655	HZ	2019-07-29	2019-12-31	155	22.14	3	4	7	#N/A
5661	HZ	2019-07-29	2020-01-16	171	24.43	#N/A	#N/A	#N/A	#N/A
5657	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2019-08-24
5657	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2019-08-24
5657	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2019-08-24
5657	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2019-08-24
5664	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5677	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5657	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2019-08-24
5664	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5677	HZ	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
#N/A	KO	2019-07-29	2019-07-29	0	0.00	0	0	0	#N/A
5656	KO	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5660	KO	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5662	KO	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5663	KO	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5680	KO	2019-07-29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A