factor	substage	genotype	replicate	class	tally	sample_size	proportion
γH2AX	D	WT	rep2	1	0	56	0.00%
γH2AX	D	WT	rep2	2	0	56	0.00%
γH2AX	D	WT	rep2	3	56	56	100.00%
γH2AX	D	KO	rep2	1	0	11	0.00%
γH2AX	D	KO	rep2	2	0	11	0.00%
γH2AX	D	KO	rep2	3	11	11	100.00%
γH2AX	D	WT	rep3	1	0	27	0.00%
γH2AX	D	WT	rep3	2	0	27	0.00%
γH2AX	D	WT	rep3	3	27	27	100.00%
γH2AX	D	KO	rep3	1	0	4	0.00%
γH2AX	D	KO	rep3	2	3	4	75.00%
γH2AX	D	KO	rep3	3	1	4	25.00%
γH2AX	D	WT	rep4	1	0	28	0.00%
γH2AX	D	WT	rep4	2	0	28	0.00%
γH2AX	D	WT	rep4	3	28	28	100.00%
γH2AX	D	KO	rep4	1	0	0	#N/A
γH2AX	D	KO	rep4	2	0	0	#N/A
γH2AX	D	KO	rep4	3	0	0	#N/A
γH2AX	PL	WT	rep2	1	0	38	0.00%
γH2AX	PL	WT	rep2	2	0	38	0.00%
γH2AX	PL	WT	rep2	3	38	38	100.00%
γH2AX	PL	KO	rep2	1	0	1	0.00%
γH2AX	PL	KO	rep2	2	0	1	0.00%
γH2AX	PL	KO	rep2	3	1	1	100.00%
γH2AX	PL	WT	rep3	1	0	14	0.00%
γH2AX	PL	WT	rep3	2	1	14	7.14%
γH2AX	PL	WT	rep3	3	13	14	92.86%
γH2AX	PL	KO	rep3	1	0	23	0.00%
γH2AX	PL	KO	rep3	2	2	23	8.70%
γH2AX	PL	KO	rep3	3	21	23	91.30%
γH2AX	PL	WT	rep4	1	0	25	0.00%
γH2AX	PL	WT	rep4	2	4	25	16.00%
γH2AX	PL	WT	rep4	3	21	25	84.00%
γH2AX	PL	KO	rep4	1	0	0	#N/A
γH2AX	PL	KO	rep4	2	0	0	#N/A
γH2AX	PL	KO	rep4	3	0	0	#N/A
γH2AX	PEM	WT	rep2	1	0	33	0.00%
γH2AX	PEM	WT	rep2	2	1	33	3.03%
γH2AX	PEM	WT	rep2	3	32	33	96.97%
γH2AX	PEM	KO	rep2	1	1	38	2.63%
γH2AX	PEM	KO	rep2	2	15	38	39.47%
γH2AX	PEM	KO	rep2	3	22	38	57.89%
γH2AX	PEM	WT	rep3	1	1	82	1.22%
γH2AX	PEM	WT	rep3	2	5	82	6.10%
γH2AX	PEM	WT	rep3	3	76	82	92.68%
γH2AX	PEM	KO	rep3	1	2	102	1.96%
γH2AX	PEM	KO	rep3	2	23	102	22.55%
γH2AX	PEM	KO	rep3	3	77	102	75.49%
γH2AX	PEM	WT	rep4	1	0	45	0.00%
γH2AX	PEM	WT	rep4	2	4	45	8.89%
γH2AX	PEM	WT	rep4	3	41	45	91.11%
γH2AX	PEM	KO	rep4	1	0	0	#N/A
γH2AX	PEM	KO	rep4	2	0	0	#N/A
γH2AX	PEM	KO	rep4	3	0	0	#N/A
γH2AX	ZL	WT	rep2	1	2	4	50.00%
γH2AX	ZL	WT	rep2	2	2	4	50.00%
γH2AX	ZL	WT	rep2	3	0	4	0.00%
γH2AX	ZL	KO	rep2	1	2	7	28.57%
γH2AX	ZL	KO	rep2	2	5	7	71.43%
γH2AX	ZL	KO	rep2	3	0	7	0.00%
γH2AX	ZL	WT	rep3	1	0	5	0.00%
γH2AX	ZL	WT	rep3	2	5	5	100.00%
γH2AX	ZL	WT	rep3	3	0	5	0.00%
γH2AX	ZL	KO	rep3	1	1	6	16.67%
γH2AX	ZL	KO	rep3	2	5	6	83.33%
γH2AX	ZL	KO	rep3	3	0	6	0.00%
γH2AX	ZL	WT	rep4	1	3	5	60.00%
γH2AX	ZL	WT	rep4	2	2	5	40.00%
γH2AX	ZL	WT	rep4	3	0	5	0.00%
γH2AX	ZL	KO	rep4	1	0	0	#N/A
γH2AX	ZL	KO	rep4	2	0	0	#N/A
γH2AX	ZL	KO	rep4	3	0	0	#N/A
γH2AX	ZEM	WT	rep2	1	5	9	55.56%
γH2AX	ZEM	WT	rep2	2	4	9	44.44%
γH2AX	ZEM	WT	rep2	3	0	9	0.00%
γH2AX	ZEM	KO	rep2	1	8	13	61.54%
γH2AX	ZEM	KO	rep2	2	5	13	38.46%
γH2AX	ZEM	KO	rep2	3	0	13	0.00%
γH2AX	ZEM	WT	rep3	1	7	8	87.50%
γH2AX	ZEM	WT	rep3	2	1	8	12.50%
γH2AX	ZEM	WT	rep3	3	0	8	0.00%
γH2AX	ZEM	KO	rep3	1	3	4	75.00%
γH2AX	ZEM	KO	rep3	2	1	4	25.00%
γH2AX	ZEM	KO	rep3	3	0	4	0.00%
γH2AX	ZEM	WT	rep4	1	0	0	#N/A
γH2AX	ZEM	WT	rep4	2	0	0	#N/A
γH2AX	ZEM	WT	rep4	3	0	0	#N/A
γH2AX	ZEM	KO	rep4	1	0	0	#N/A
γH2AX	ZEM	KO	rep4	2	0	0	#N/A
γH2AX	ZEM	KO	rep4	3	0	0	#N/A